time,id,value
2017/10/19 21:25,7308993,1
2017/10/19 21:26,611726,1
2017/10/19 21:27,3113652,2
2017/10/19 21:27,9210483,1
2017/10/19 21:39,7120571,1
2017/10/19 21:46,710358,2
2017/10/19 21:50,1248437,1
2017/10/19 21:55,2986388,1
2017/10/19 21:59,9013771,1
2017/10/20 6:02,2029796,1
2017/10/20 6:06,5879338,1
2017/10/20 6:11,2284992,2
2017/10/20 6:15,8806829,1
2017/10/20 6:19,3271900,1
2017/10/20 6:21,2895939,1
2017/10/20 6:22,1579038,1
2017/10/20 6:27,1176600,1
2017/10/20 6:34,6238567,1
2017/10/20 6:38,2584781,1
2017/10/20 6:38,8761488,1
2017/10/20 6:41,9430963,2
2017/10/20 6:46,4909903,1
2017/10/20 6:47,2480523,1
2017/10/20 6:49,6042316,1
2017/10/20 6:50,4579968,1
2017/10/20 6:51,5235405,1
2017/10/20 6:51,5270812,1
2017/10/20 6:51,9713837,1
2017/10/20 6:58,5345341,1
2017/10/20 7:00,337398,1
2017/10/20 7:01,459036,2
2017/10/20 7:03,5653847,1
2017/10/20 7:06,3289292,2
2017/10/20 7:10,6043223,1
2017/10/20 7:11,4442893,1
2017/10/20 7:13,1986037,1
2017/10/20 7:15,5727022,1
2017/10/20 7:17,6853405,1
2017/10/20 7:17,5358245,1
2017/10/20 7:19,8746693,1
2017/10/20 7:21,5347269,1
2017/10/20 7:23,1201257,1
2017/10/20 7:25,1436035,1
2017/10/20 7:29,7259506,1
2017/10/20 7:31,3271900,1
2017/10/20 7:32,7779332,2
2017/10/20 7:33,3200058,1
2017/10/20 7:33,7147565,2
2017/10/20 7:38,4575062,1
2017/10/20 7:39,8812563,1
2017/10/20 7:42,1624282,1
2017/10/20 7:42,8231480,2
2017/10/20 7:45,4775338,2
2017/10/20 7:45,5636796,1
2017/10/20 7:45,7259506,1
2017/10/20 7:47,1855530,1
2017/10/20 7:49,2978863,2
2017/10/20 7:51,2386241,1
2017/10/20 7:55,2374774,1
2017/10/20 7:57,2500772,1
2017/10/20 7:59,9765528,1
2017/10/20 8:05,4287181,1
2017/10/20 8:05,4838043,1
2017/10/20 8:06,8437850,1
2017/10/20 8:07,1221594,1
2017/10/20 8:07,2436394,1
2017/10/20 8:09,5879338,1
2017/10/20 8:10,3550687,1
2017/10/20 8:11,8143270,1
2017/10/20 8:12,1474736,1
2017/10/20 8:13,2724739,1
2017/10/20 8:13,1107876,1
2017/10/20 8:14,1289217,1
2017/10/20 8:17,950751,2
2017/10/20 8:21,491623,1
2017/10/20 8:23,3870473,1
2017/10/20 8:30,5545464,1
2017/10/20 8:32,2707376,1
2017/10/20 8:32,4659214,1
2017/10/20 8:33,9719006,1
2017/10/20 8:37,4659214,1
2017/10/20 8:38,8163945,1
2017/10/20 8:39,2977515,1
2017/10/20 8:40,6103229,1
2017/10/20 8:51,2158302,1
2017/10/20 8:54,5815098,1
2017/10/20 8:54,8114762,1
2017/10/20 8:57,211318,1
2017/10/20 8:58,2902233,1
2017/10/20 8:59,2262374,1
2017/10/20 8:59,3556270,1
2017/10/20 9:00,9483013,1
2017/10/20 9:00,1490783,1
2017/10/20 9:00,5442489,1
2017/10/20 9:00,745662,1
2017/10/20 9:05,6539661,1
2017/10/20 9:06,7236714,1
2017/10/20 9:07,9932108,1
2017/10/20 9:17,5727022,1
2017/10/20 9:18,4440956,1
2017/10/20 9:18,4738545,1
2017/10/20 9:21,2198625,1
2017/10/20 9:25,9459200,1
2017/10/20 9:31,4042054,1
2017/10/20 9:31,1515968,1
2017/10/20 9:32,5530815,1
2017/10/20 9:32,7168353,1
2017/10/20 9:32,3299821,1
2017/10/20 9:33,611726,1
2017/10/20 9:36,176941,1
2017/10/20 9:37,7484082,1
2017/10/20 9:38,7229169,1
2017/10/20 9:43,2158302,1
2017/10/20 9:44,990404,2
2017/10/20 9:45,7549658,1
2017/10/20 9:47,5306022,1
2017/10/20 9:52,3119475,1
2017/10/20 9:52,4287181,1
2017/10/20 9:56,1626612,1
2017/10/20 10:00,3450525,2
2017/10/20 10:02,4490283,1
2017/10/20 10:02,440828,1
2017/10/20 10:03,1442059,1
2017/10/20 10:03,4022417,1
2017/10/20 10:04,5019739,1
2017/10/20 10:05,5300026,1
2017/10/20 10:06,8954242,1
2017/10/20 10:11,3819429,1
2017/10/20 10:12,2674193,1
2017/10/20 10:13,9290561,1
2017/10/20 10:15,4287170,1
2017/10/20 10:18,7787038,1
2017/10/20 10:19,2899582,1
2017/10/20 10:19,8101593,1
2017/10/20 10:24,8487936,1
2017/10/20 10:25,211318,1
2017/10/20 10:29,2822108,1
2017/10/20 10:30,5818092,1
2017/10/20 10:30,223619,1
2017/10/20 10:33,129101,1
2017/10/20 10:33,9952621,1
2017/10/20 10:35,4858527,1
2017/10/20 10:36,7382969,2
2017/10/20 10:38,2899582,1
2017/10/20 10:40,3550687,1
2017/10/20 10:44,3154999,1
2017/10/20 10:44,6859855,1
2017/10/20 10:45,9261714,1
2017/10/20 10:49,5101926,1
2017/10/20 10:50,9633720,1
2017/10/20 10:52,124333,1
2017/10/20 10:52,5247216,1
2017/10/20 10:52,5383957,1
2017/10/20 10:52,4315449,1
2017/10/20 10:53,6457010,1
2017/10/20 10:53,3870473,1
2017/10/20 10:54,4891092,1
2017/10/20 10:55,4526086,1
2017/10/20 10:56,7168353,1
2017/10/20 11:05,8489236,1
2017/10/20 11:06,8114762,1
2017/10/20 11:08,5960673,1
2017/10/20 11:12,1230496,1
2017/10/20 11:19,4529390,1
2017/10/20 11:21,1970129,1
2017/10/20 11:24,5282444,1
2017/10/20 11:24,9854563,2
2017/10/20 11:29,2053746,1
2017/10/20 11:32,3165658,2
2017/10/20 11:36,8385662,1
2017/10/20 11:36,1221594,1
2017/10/20 11:37,5195429,1
2017/10/20 11:39,7323746,1
2017/10/20 11:40,2165354,1
2017/10/20 11:41,5442489,1
2017/10/20 11:42,3643684,1
2017/10/20 11:45,157801,1
2017/10/20 11:46,4088940,1
